FLARE_IDX,CME_IDX,SEP_IDX,Observer,Start Time at Observer (GOES),Start Time at Observer (STIX),Peak Time at Observer (GOES),Peak Time at Observer (STIX),End Time at Observer (GOES),End Time at Observer (STIX),Start Time at 1 AU (GOES),Start Time at 1 AU (STIX),Peak Time at 1 AU (GOES),Peak Time at 1 AU (STIX),End Time at 1 AU (GOES),End Time at 1 AU (STIX),Start Time at the Sun (GOES),Start Time at the Sun (STIX),Peak Time at the Sun (GOES),Peak Time at the Sun (STIX),End Time at the Sun (GOES),End Time at the Sun (STIX),GOES Flare Class,Estimated GOES Flare Class for STIX,GOES HGS LON,GOES HGS LAT,STIX HGS LON,STIX HGS LAT,GOES Distance (AU),STIX Distance (AU),Active Region,IP Radio Bursts
FLARE0010,,,GOES/STIX,2022-04-17 22:28:00,2022-04-17 22:22:20,2022-04-17 22:34:00,2022-04-17 22:29:24,2022-04-17 22:40:00,2022-04-17 23:03:36,2022-04-17 22:28:00,2022-04-17 22:26:10,2022-04-17 22:34:00,2022-04-17 22:33:14,2022-04-17 22:40:00,2022-04-17 23:07:26,2022-04-17 22:19:40,2022-04-17 22:17:50,2022-04-17 22:25:40,2022-04-17 22:24:54,2022-04-17 22:31:40,2022-04-17 22:59:06,M4.4,M5,73.0,-31.0,63.0,-30.0,1.0,0.539,12992.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220417.png
FLARE0011,,,STIX,,2022-04-19 20:35:24,,2022-04-19 20:44:00,,2022-04-19 22:04:56,,2022-04-19 20:39:02,,2022-04-19 20:47:38,,2022-04-19 22:08:34,,2022-04-19 20:30:42,,2022-04-19 20:39:18,,2022-04-19 22:00:14,,M5,,,97.0,-29.0,,0.563,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220419.png
FLARE0012,,,GOES/STIX,2022-04-20 01:20:00,2022-04-20 01:19:36,2022-04-20 01:36:00,2022-04-20 01:31:24,2022-04-20 01:44:00,2022-04-20 01:52:24,2022-04-20 01:20:00,2022-04-20 01:23:13,2022-04-20 01:36:00,2022-04-20 01:35:01,2022-04-20 01:44:00,2022-04-20 01:56:01,2022-04-20 01:11:40,2022-04-20 01:14:53,2022-04-20 01:27:40,2022-04-20 01:26:41,2022-04-20 01:35:40,2022-04-20 01:47:41,M7.2,M5,86.0,-33.0,92.0,-34.0,1.0,0.565,12992.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220420.png
FLARE0013,,,STIX,,2022-04-20 03:31:04,,2022-04-20 03:52:40,,2022-04-20 04:30:08,,2022-04-20 03:34:41,,2022-04-20 03:56:17,,2022-04-20 04:33:45,,2022-04-20 03:26:21,,2022-04-20 03:47:57,,2022-04-20 04:25:25,,X2,,,94.0,-34.0,,0.566,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220420.png
FLARE0014,,SEP0032,GOES,2022-04-20 03:41:00,,2022-04-20 03:57:00,,2022-04-20 04:04:00,,2022-04-20 03:41:00,,2022-04-20 03:57:00,,2022-04-20 04:04:00,,2022-04-20 03:32:40,,2022-04-20 03:48:40,,2022-04-20 03:55:40,,X2.2,,86.0,-34.0,,,1.0,,12992.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220420.png
FLARE0015,,,GOES,2022-04-21 01:47:00,,2022-04-21 01:59:00,,2022-04-21 02:05:00,,2022-04-21 01:47:00,,2022-04-21 01:59:00,,2022-04-21 02:05:00,,2022-04-21 01:38:40,,2022-04-21 01:50:40,,2022-04-21 01:56:40,,M9.6,,-23.0,22.0,,,1.0,,12993.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220421.png
FLARE0016,,,STIX,,2022-04-30 09:51:31,,2022-04-30 09:54:19,,2022-04-30 10:00:51,,2022-04-30 09:54:09,,2022-04-30 09:56:57,,2022-04-30 10:03:29,,2022-04-30 09:45:49,,2022-04-30 09:48:37,,2022-04-30 09:55:09,,M6,,,90.0,17.0,,0.684,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220430.png
FLARE0017,,,STIX,,2022-04-30 13:35:03,,2022-04-30 13:42:03,,2022-04-30 14:19:47,,2022-04-30 13:37:40,,2022-04-30 13:44:40,,2022-04-30 14:22:24,,2022-04-30 13:29:20,,2022-04-30 13:36:20,,2022-04-30 14:14:04,,X1,,,93.0,16.0,,0.686,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220430.png
FLARE0018,,,STIX,,2022-04-30 13:35:27,,2022-04-30 13:45:43,,2022-04-30 14:19:47,,2022-04-30 13:38:04,,2022-04-30 13:48:20,,2022-04-30 14:22:24,,2022-04-30 13:29:44,,2022-04-30 13:40:00,,2022-04-30 14:14:04,,M10,,,93.0,17.0,,0.686,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220430.png
FLARE0019,,SEP0034,GOES,2022-04-30 13:37:00,,2022-04-30 13:47:00,,2022-04-30 13:52:00,,2022-04-30 13:37:00,,2022-04-30 13:47:00,,2022-04-30 13:52:00,,2022-04-30 13:28:40,,2022-04-30 13:38:40,,2022-04-30 13:43:40,,X1.1,,88.0,16.0,,,1.0,,12994.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220430.png
FLARE0020,,,STIX,,2022-04-30 19:39:15,,2022-04-30 19:49:15,,2022-04-30 19:59:39,,2022-04-30 19:41:51,,2022-04-30 19:51:51,,2022-04-30 20:02:15,,2022-04-30 19:33:31,,2022-04-30 19:43:31,,2022-04-30 19:53:55,,X1,,,,,,0.689,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220430.png
FLARE0021,,,STIX,,2022-04-30 19:39:23,,2022-04-30 19:46:19,,2022-04-30 19:59:35,,2022-04-30 19:41:59,,2022-04-30 19:48:55,,2022-04-30 20:02:11,,2022-04-30 19:33:39,,2022-04-30 19:40:35,,2022-04-30 19:53:51,,X2,,,,,,0.689,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220430.png
FLARE0022,,,STIX,,2022-05-01 04:05:39,,2022-05-01 04:29:23,,2022-05-01 04:44:39,,2022-05-01 04:08:13,,2022-05-01 04:31:57,,2022-05-01 04:47:13,,2022-05-01 03:59:53,,2022-05-01 04:23:37,,2022-05-01 04:38:53,,M6,,,101.0,17.0,,0.692,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220501.png
FLARE0023,,,STIX,,2022-05-01 07:46:23,,2022-05-01 08:17:15,,2022-05-01 08:35:39,,2022-05-01 07:48:56,,2022-05-01 08:19:48,,2022-05-01 08:38:12,,2022-05-01 07:40:36,,2022-05-01 08:11:28,,2022-05-01 08:29:52,,X1,,,,,,0.694,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220501.png
FLARE0024,,,STIX,,2022-05-01 07:56:35,,2022-05-01 08:14:39,,2022-05-01 08:35:35,,2022-05-01 07:59:08,,2022-05-01 08:17:12,,2022-05-01 08:38:08,,2022-05-01 07:50:48,,2022-05-01 08:08:52,,2022-05-01 08:29:48,,X1,,,,,,0.694,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220501.png
FLARE0025,,,STIX,,2022-05-01 17:59:35,,2022-05-01 18:02:07,,2022-05-01 18:12:27,,2022-05-01 18:02:06,,2022-05-01 18:04:38,,2022-05-01 18:14:58,,2022-05-01 17:53:46,,2022-05-01 17:56:18,,2022-05-01 18:06:38,,M8,,,110.0,17.0,,0.698,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220501.png
FLARE0026,,,STIX,,2022-05-01 22:01:23,,2022-05-01 22:30:39,,2022-05-01 22:47:27,,2022-05-01 22:03:53,,2022-05-01 22:33:09,,2022-05-01 22:49:57,,2022-05-01 21:55:33,,2022-05-01 22:24:49,,2022-05-01 22:41:37,,M6,,,110.0,17.0,,0.7,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220501.png
FLARE0027,,,STIX,,2022-05-02 09:19:20,,2022-05-02 09:28:28,,2022-05-02 10:06:08,,2022-05-02 09:21:47,,2022-05-02 09:30:55,,2022-05-02 10:08:35,,2022-05-02 09:13:27,,2022-05-02 09:22:35,,2022-05-02 10:00:15,,M9,,,,,,0.705,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220502.png
FLARE0028,,,GOES,2022-05-03 13:09:00,,2022-05-03 13:25:00,,2022-05-03 13:31:00,,2022-05-03 13:09:00,,2022-05-03 13:25:00,,2022-05-03 13:31:00,,2022-05-03 13:00:40,,2022-05-03 13:16:40,,2022-05-03 13:22:40,,X1.1,,-5.0,-16.0,,,1.0,,13004.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220503.png
FLARE0029,,,GOES,2022-05-04 00:08:00,,2022-05-04 00:19:00,,2022-05-04 00:25:00,,2022-05-04 00:08:00,,2022-05-04 00:19:00,,2022-05-04 00:25:00,,2022-05-03 23:59:40,,2022-05-04 00:10:40,,2022-05-04 00:16:40,,M5.3,,,,,,1.0,,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220504.png
FLARE0030,,,GOES,2022-05-04 08:45:00,,2022-05-04 08:59:00,,2022-05-04 09:10:00,,2022-05-04 08:45:00,,2022-05-04 08:59:00,,2022-05-04 09:10:00,,2022-05-04 08:36:40,,2022-05-04 08:50:40,,2022-05-04 09:01:40,,M5.7,,9.0,-16.0,,,1.0,,13004.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220504.png
FLARE0031,,,STIX,,2022-05-04 14:14:35,,2022-05-04 15:15:27,,2022-05-04 16:06:11,,2022-05-04 14:16:52,,2022-05-04 15:17:44,,2022-05-04 16:08:28,,2022-05-04 14:08:32,,2022-05-04 15:09:24,,2022-05-04 16:00:08,,M9,,,149.0,19.0,,0.728,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220504.png
FLARE0032,,,STIX,,2022-05-05 07:46:03,,2022-05-05 08:05:11,,2022-05-05 08:48:47,,2022-05-05 07:48:16,,2022-05-05 08:07:24,,2022-05-05 08:51:00,,2022-05-05 07:39:56,,2022-05-05 07:59:04,,2022-05-05 08:42:40,,M6,,,159.0,16.0,,0.734,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220505.png
FLARE0033,,,STIX,,2022-05-05 18:06:43,,2022-05-05 18:11:55,,2022-05-05 18:22:03,,2022-05-05 18:08:54,,2022-05-05 18:14:06,,2022-05-05 18:24:14,,2022-05-05 18:00:34,,2022-05-05 18:05:46,,2022-05-05 18:15:54,,M7,,,165.0,19.0,,0.738,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220505.png
FLARE0034,,,STIX,,2022-05-05 21:39:03,,2022-05-05 21:43:07,,2022-05-05 22:29:07,,2022-05-05 21:41:13,,2022-05-05 21:45:17,,2022-05-05 22:31:17,,2022-05-05 21:32:53,,2022-05-05 21:36:57,,2022-05-05 22:22:57,,M9,,,167.0,16.0,,0.74,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220505.png
FLARE0035,,,STIX,,2022-05-10 01:55:08,,2022-05-10 01:58:40,,2022-05-10 02:02:48,,2022-05-10 01:56:58,,2022-05-10 02:00:30,,2022-05-10 02:04:38,,2022-05-10 01:48:38,,2022-05-10 01:52:10,,2022-05-10 01:56:18,,M7,,,-138.0,18.0,,0.779,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220510.png
FLARE0036,,,STIX,,2022-05-10 07:13:48,,2022-05-10 07:26:08,,2022-05-10 08:07:52,,2022-05-10 07:15:37,,2022-05-10 07:27:57,,2022-05-10 08:09:41,,2022-05-10 07:07:17,,2022-05-10 07:19:37,,2022-05-10 08:01:21,,M8,,,-154.0,14.0,,0.781,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220510.png
FLARE0037,,,GOES,2022-05-10 13:50:00,,2022-05-10 13:55:00,,2022-05-10 13:59:00,,2022-05-10 13:50:00,,2022-05-10 13:55:00,,2022-05-10 13:59:00,,2022-05-10 13:41:40,,2022-05-10 13:46:40,,2022-05-10 13:50:40,,X1.5,,4.0,-29.0,,,1.0,,13006.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220510.png
FLARE0038,,,STIX,,2022-05-17 16:14:51,,2022-05-17 16:27:03,,2022-05-17 17:26:07,,2022-05-17 16:16:11,,2022-05-17 16:28:23,,2022-05-17 17:27:27,,2022-05-17 16:07:51,,2022-05-17 16:20:03,,2022-05-17 17:19:07,,M5,,,,,,0.841,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220517.png
FLARE0039,,,GOES,2022-05-19 07:00:00,,2022-05-19 07:19:00,,2022-05-19 07:31:00,,2022-05-19 07:00:00,,2022-05-19 07:19:00,,2022-05-19 07:31:00,,2022-05-19 06:51:40,,2022-05-19 07:10:40,,2022-05-19 07:22:40,,M5.6,,-37.0,12.0,,,1.0,,13017.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220519.png
FLARE0040,,,GOES,2022-08-16 07:52:00,,2022-08-16 07:58:00,,2022-08-16 08:05:00,,2022-08-16 07:52:00,,2022-08-16 07:58:00,,2022-08-16 08:05:00,,2022-08-16 07:43:40,,2022-08-16 07:49:40,,2022-08-16 07:56:40,,M5.0,,11.0,-22.0,,,1.0,,13078.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220816.png
FLARE0041,,,GOES,2022-08-26 12:08:00,,2022-08-26 12:14:00,,2022-08-26 12:21:00,,2022-08-26 12:08:00,,2022-08-26 12:14:00,,2022-08-26 12:21:00,,2022-08-26 11:59:40,,2022-08-26 12:05:40,,2022-08-26 12:12:40,,M7.2,,-51.0,-22.0,,,1.0,,13089.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220826.png
FLARE0042,,SEP0041,GOES,2022-08-26 12:24:00,,2022-08-26 12:31:00,,2022-08-26 12:38:00,,2022-08-26 12:24:00,,2022-08-26 12:31:00,,2022-08-26 12:38:00,,2022-08-26 12:15:40,,2022-08-26 12:22:40,,2022-08-26 12:29:40,,M5.3,,-53.0,-22.0,,,1.0,,13089.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220826.png
FLARE0043,CME0042,,GOES/STIX,2022-08-28 15:48:00,2022-08-28 15:51:48,2022-08-28 16:19:00,2022-08-28 16:09:20,2022-08-28 16:46:00,2022-08-28 17:36:28,2022-08-28 15:48:00,2022-08-28 15:53:38,2022-08-28 16:19:00,2022-08-28 16:11:10,2022-08-28 16:46:00,2022-08-28 17:38:18,2022-08-28 15:39:40,2022-08-28 15:45:18,2022-08-28 16:10:40,2022-08-28 16:02:50,2022-08-28 16:37:40,2022-08-28 17:29:58,M6.7,M7,80.0,-28.0,62.0,-31.0,1.0,0.779,13088.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220828.png
FLARE0044,,,STIX,,2022-08-28 18:07:52,,2022-08-28 18:28:00,,2022-08-28 19:20:32,,2022-08-28 18:09:43,,2022-08-28 18:29:51,,2022-08-28 19:22:23,,2022-08-28 18:01:23,,2022-08-28 18:21:31,,2022-08-28 19:14:03,,M5,,,84.0,-28.0,,0.778,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220828.png
FLARE0045,,,STIX,,2022-08-29 10:46:55,,2022-08-29 11:04:55,,2022-08-29 12:01:51,,2022-08-29 10:48:50,,2022-08-29 11:06:50,,2022-08-29 12:03:46,,2022-08-29 10:40:30,,2022-08-29 10:58:30,,2022-08-29 11:55:26,,X1,,,90.0,-27.0,,0.772,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220829.png
FLARE0046,,,GOES,2022-08-29 10:48:00,,2022-08-29 11:08:00,,2022-08-29 11:12:00,,2022-08-29 10:48:00,,2022-08-29 11:08:00,,2022-08-29 11:12:00,,2022-08-29 10:39:40,,2022-08-29 10:59:40,,2022-08-29 11:03:40,,M8.6,,86.0,-26.0,,,1.0,,13088.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220829.png
FLARE0047,,,STIX,,2022-08-29 16:14:51,,2022-08-29 16:25:47,,2022-08-29 17:42:03,,2022-08-29 16:16:46,,2022-08-29 16:27:42,,2022-08-29 17:43:58,,2022-08-29 16:08:26,,2022-08-29 16:19:22,,2022-08-29 17:35:38,,M5,,,88.0,-29.0,,0.77,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220829.png
FLARE0048,,,STIX,,2022-08-29 18:39:19,,2022-08-29 18:53:03,,2022-08-29 19:28:15,,2022-08-29 18:41:15,,2022-08-29 18:54:59,,2022-08-29 19:30:11,,2022-08-29 18:32:55,,2022-08-29 18:46:39,,2022-08-29 19:21:51,,M9,,,94.0,-27.0,,0.769,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220829.png
FLARE0049,,,STIX,,2022-08-30 01:14:55,,2022-08-30 01:31:27,,2022-08-30 02:37:03,,2022-08-30 01:16:52,,2022-08-30 01:33:24,,2022-08-30 02:39:00,,2022-08-30 01:08:32,,2022-08-30 01:25:04,,2022-08-30 02:30:40,,X1,,,97.0,-27.0,,0.766,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220830.png
FLARE0050,,,STIX,,2022-08-30 01:17:39,,2022-08-30 01:22:39,,2022-08-30 01:31:35,,2022-08-30 01:19:36,,2022-08-30 01:24:36,,2022-08-30 01:33:32,,2022-08-30 01:11:16,,2022-08-30 01:16:16,,2022-08-30 01:25:12,,X1,,,99.0,-27.0,,0.766,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220830.png
FLARE0051,,,STIX,,2022-08-30 01:32:35,,2022-08-30 01:33:35,,2022-08-30 01:51:31,,2022-08-30 01:34:32,,2022-08-30 01:35:32,,2022-08-30 01:53:28,,2022-08-30 01:26:12,,2022-08-30 01:27:12,,2022-08-30 01:45:08,,M8,,,97.0,-27.0,,0.766,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220830.png
FLARE0052,,,STIX,,2022-08-30 04:34:47,,2022-08-30 04:50:39,,2022-08-30 05:17:51,,2022-08-30 04:36:45,,2022-08-30 04:52:37,,2022-08-30 05:19:49,,2022-08-30 04:28:25,,2022-08-30 04:44:17,,2022-08-30 05:11:29,,M7,,,98.0,-28.0,,0.765,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220830.png
FLARE0053,CME0047,SEP0043,STIX,,2022-08-30 17:35:51,,2022-08-30 17:57:39,,2022-08-30 19:09:43,,2022-08-30 17:37:51,,2022-08-30 17:59:39,,2022-08-30 19:11:43,,2022-08-30 17:29:31,,2022-08-30 17:51:19,,2022-08-30 19:03:23,,X1,,,108.0,-27.0,,0.76,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220830.png
FLARE0054,,,STIX,,2022-08-31 10:39:19,,2022-08-31 10:43:39,,2022-08-31 10:52:23,,2022-08-31 10:41:22,,2022-08-31 10:45:42,,2022-08-31 10:54:26,,2022-08-31 10:33:02,,2022-08-31 10:37:22,,2022-08-31 10:46:06,,M8,,,118.0,-30.0,,0.754,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220831.png
FLARE0055,,,STIX,,2022-09-01 03:03:27,,2022-09-01 03:14:11,,2022-09-01 04:00:19,,2022-09-01 03:05:34,,2022-09-01 03:16:18,,2022-09-01 04:02:26,,2022-09-01 02:57:14,,2022-09-01 03:07:58,,2022-09-01 03:54:06,,M5,,,126.0,-28.0,,0.747,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220901.png
FLARE0056,CME0048,SEP0044,STIX,,2022-09-05 15:25:28,,2022-09-05 16:17:56,,2022-09-05 17:03:08,,2022-09-05 15:27:57,,2022-09-05 16:20:25,,2022-09-05 17:05:37,,2022-09-05 15:19:37,,2022-09-05 16:12:05,,2022-09-05 16:57:17,,M9,,,-174.0,-32.0,,0.703,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220905.png
FLARE0057,,,STIX,,2022-09-10 21:29:33,,2022-09-10 21:36:29,,2022-09-10 22:59:25,,2022-09-10 21:32:29,,2022-09-10 21:39:25,,2022-09-10 23:02:21,,2022-09-10 21:24:09,,2022-09-10 21:31:05,,2022-09-10 22:54:01,,M8,,,154.0,-26.0,,0.648,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220910.png
FLARE0058,,,STIX,,2022-09-11 07:38:53,,2022-09-11 07:46:17,,2022-09-11 08:57:49,,2022-09-11 07:41:51,,2022-09-11 07:49:15,,2022-09-11 09:00:47,,2022-09-11 07:33:31,,2022-09-11 07:40:55,,2022-09-11 08:52:27,,M7,,,160.0,-27.0,,0.643,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220911.png
FLARE0059,,,STIX,,2022-09-11 12:41:01,,2022-09-11 12:45:37,,2022-09-11 14:03:05,,2022-09-11 12:44:00,,2022-09-11 12:48:36,,2022-09-11 14:06:04,,2022-09-11 12:35:40,,2022-09-11 12:40:16,,2022-09-11 13:57:44,,M9,,,162.0,-26.0,,0.641,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220911.png
