CME IDX,FLARE_IDX,Other associations,SEP_IDX,GOES Flare Class,GOES Estimated Flare Class for STIX,Start Time (Observer),Observer,Start time (1 AU),Start time (Sun),Central Position Angle (degrees),Angular Width (degrees),Speed (km/s),Acceleration (m/s2),Mass (g),Kinetic Energy (erg)
CME0123,,,,,,2023-07-17 22:54:05,LASCO,2023-07-17 22:54:05,2023-07-17 22:45:45,219,131,2075,236.7*,1.5e+15*,3.3e+31*
CME0124,FLARE0150,"FLARE0150,FLARE0151",SEP0074,,M5,2023-07-17 23:36:05,LASCO,2023-07-17 23:36:05,2023-07-17 23:27:45,Halo,360,1385,-58.4,2.9e+16*,2.8e+32*
CME0125,,,,C6.0,,2023-07-18 20:12:05,LASCO,2023-07-18 20:12:05,2023-07-18 20:03:45,Halo,360,1272,12.4,1.2e+16*,9.9e+31*
CME0126,,,,,,2023-07-19 23:12:10,LASCO,2023-07-19 23:12:10,2023-07-19 23:03:50,312,159,1167,-48.5,3.3e+15*,2.2e+31*
CME0127,FLARE0155,,SEP0075,,X1,2023-07-20 17:48:05,LASCO,2023-07-20 17:48:05,2023-07-20 17:39:45,Halo,360,1110,-22.8*,1.7e+14*,1.1e+30*
CME0128,,,,,,2023-07-24 07:24:05,LASCO,2023-07-24 07:24:05,2023-07-24 07:15:45,30,70,1110,11.1*,6.1e+13,3.7e+29
CME0129,FLARE0157,,SEP0076,C2.8,X1,2023-07-24 18:06:05,LASCO,2023-07-24 18:06:05,2023-07-24 17:57:45,Halo,360,1204,-52.4,1.4e+16*,1.0e+32*
CME0130,,,,,,2023-07-28 16:00:05,LASCO,2023-07-28 16:00:05,2023-07-28 15:51:45,Halo,360,1896,-130.0,1.2e+16*,2.1e+32*
CME0131,,,,M1.9,,2023-08-04 04:17:41,LASCO,2023-08-04 04:17:41,2023-08-04 04:09:21,Halo,360,1029,-9.7,7.4e+15*,3.9e+31*
CME0132,FLARE0159,,,X1.6,X1,2023-08-05 22:12:05,LASCO,2023-08-05 22:12:05,2023-08-05 22:03:45,Halo,360,1647,-17.2,1.6e+16*,2.1e+32*
CME0133,FLARE0160,,,M5.5,M6,2023-08-06 18:48:05,LASCO,2023-08-06 18:48:05,2023-08-06 18:39:45,242,236,1182,-38.5,1.2e+16*,8.4e+31*
CME0134,FLARE0161,"FLARE0161,FLARE0162",SEP0079,M1.4,,2023-08-07 20:48:05,LASCO,2023-08-07 20:48:05,2023-08-07 20:39:45,Halo,360,1851,-0.7,2.3e+16*,4.0e+32*
CME0135,,,,,,2023-08-11 06:36:05,LASCO,2023-08-11 06:36:05,2023-08-11 06:27:45,93,190,1011,21.9,1.3e+16*,6.5e+31*
CME0136,,,,C5.1,,2023-08-17 12:36:06,LASCO,2023-08-17 12:36:06,2023-08-17 12:27:46,258,182,1018,-23.0,3.8e+15*,2.0e+31*
CME0137,,,SEP0082,,,2023-09-01 03:24:05,LASCO,2023-09-01 03:24:05,2023-09-01 03:15:45,Halo,360,1339,-12.0,,
CME0138,,,,M3.3,,2023-09-02 07:12:05,LASCO,2023-09-02 07:12:05,2023-09-02 07:03:45,228,156,1176,-25.3*,,
CME0139,,,,,,2023-09-03 05:24:05,LASCO,2023-09-03 05:24:05,2023-09-03 05:15:45,289,196,1190,13.1,,
